SGTPVALUE,BOSVALUE
0,LIV
12,033
14,102
15,103
16,101
17,122
1a,139
1b,123
1B,148
1e,149
1f,127
1g,128
1G,143
1i,131
1j,132
1k,133
1K,147
1l,134
1m,135
1n,111
1p,138
1q,107
1Q,144
1R,156
1S,157
1W,141
1X,146
1Y,113
1Z,165
20,110
21,003
22,002
24,120
25,004
26,016
27,108
29,109
2a,164
2c,117
2d,118
2e,119
2f,251
2g,151
2h,150
2i,029
2j,170
2k,TTT
2l,010
2m,152
2n,160
2o,777
2p,130
2q,012
2r,155
2s,009
2u,015
31,136
32,124
37,180
3a,125
3b,129
3c,053
3i,055
3j,056
3k,158
3m,076
3v,064
3x,145
3y,043
3z,044
4c,166
4d,167
50,274
51,275
52,263
53,261
54,266
55,267
56,271
98,98
el,153
XX,622
