2023-06-26 14:33:05.7421 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:40:17.0691 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:41:36.2339 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:46:12.2912 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:46:36.5701 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:47:47.5447 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:48:28.7568 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:48:54.4377 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:49:29.3811 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:53:44.9593 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:55:32.6821 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:56:26.5150 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 14:57:53.2045 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 15:05:46.7649 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 15:10:01.1194 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 15:10:33.3810 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 15:11:32.1019 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 15:12:15.3498 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 15:12:48.5662 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 15:14:46.5123 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 15:20:47.3884 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-26 15:36:01.4034 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:12:09.7630 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:14:06.5417 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:36:50.2447 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:37:47.8507 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:39:17.2442 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:46:34.7574 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:47:55.5761 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:48:32.6318 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:52:23.4967 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 10:58:04.1074 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 11:06:34.0316 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 11:07:16.7535 | FATAL | LogWriterTool.Program.Main | logFatal測試 

2023-06-27 11:10:26.4986 | FATAL | LogWriterTool.Program.Main | logFatal測試 

